Pol	|V|	|F|	|S|	|B|	|A|	|X|	|E|
189	10	36	8	0	0	8	28
190	10	32	12	4	0	16	16
191	10	32	12	0	0	12	20
192	9	24	12	2	0	14	10
193	10	33	9	3	0	12	21
194	10	33	6	3	0	9	24
195	10	33	9	3	0	12	21
196	10	36	6	1	0	7	29
197	10	33	9	3	0	12	21
198	11	44	24	4	0	28	16
199	11	44	12	4	0	16	28
200	11	44	24	0	0	24	20
201	10	36	12	2	0	14	22
202	10	33	6	0	0	6	27
203	10	39	8	0	0	8	31
204	11	44	12	4	0	16	28
205	11	44	12	0	0	12	32
206	10	36	12	2	0	14	22
207	10	33	18	3	0	21	12
208	10	33	9	3	0	12	21
209	10	33	6	0	0	6	27
210	10	33	9	3	0	12	21
211	11	44	24	0	0	24	20
212	10	33	18	3	0	21	12
213	10	33	9	0	0	9	24
214	10	33	18	0	0	18	15
215	10	39	24	2	0	26	13
216	9	25	9	1	0	10	15
217	9	24	12	12	0	24	0
218	9	24	8	4	0	12	12
219	9	24	9	3	0	12	12
220	9	27	12	2	0	14	13
221	10	32	16	16	0	32	0
222	10	32	16	0	0	16	16
223	9	24	16	8	0	24	0
224	9	24	9	3	0	12	12
225	9	24	12	12	0	24	0
226	10	32	16	0	0	16	16
227	9	24	12	0	0	12	12
228	9	24	12	0	0	12	12
229	8	16	12	4	0	16	0
230	11	49	24	0	0	24	25
231	10	37	8	3	0	11	26
232	10	40	4	3	0	7	33
233	11	55	11	0	0	11	44
234	11	56	13	0	0	13	43
235	11	49	8	0	0	8	41
236	11	49	8	0	0	8	41
237	10	40	8	0	0	8	32
238	11	52	14	0	0	14	38
239	10	40	4	3	0	7	33
240	11	57	17	2	0	19	38
241	10	37	3	6	0	9	28
242	10	37	4	0	0	4	33
243	10	40	24	0	0	24	16
244	9	28	3	6	0	9	19
245	10	32	8	4	0	12	20
246	10	32	4	0	0	4	28
247	10	33	6	1	0	7	26
248	9	24	8	4	0	12	12
249	10	32	8	4	0	12	20
250	10	32	4	0	0	4	28
251	10	33	6	1	0	7	26
252	9	24	8	4	0	12	12
253	10	32	4	4	0	8	24
254	10	32	4	0	0	4	28
255	10	32	8	0	0	8	24
256	9	24	4	4	0	8	16
257	10	35	6	2	0	8	27
258	11	43	6	0	0	6	37
259	10	35	9	2	0	11	24
260	11	43	6	0	0	6	37
261	10	35	6	2	0	8	27
262	10	35	6	2	0	8	27
263	11	47	6	1	0	7	40
264	11	50	6	0	0	6	44
265	10	39	6	1	0	7	32
266	11	47	3	0	0	3	44
267	11	50	6	0	0	6	44
268	10	39	3	0	0	3	36
269	10	40	4	1	0	5	35
270	10	36	6	1	0	7	29
271	11	50	6	1	0	7	43
272	10	36	4	4	0	8	28
273	10	40	4	2	0	6	34
